Product Code,Product Name,Product Category,UOM,UPC,Bill of Materials,Batched Product
103088,BAG PURE CHOCOLA 34*34CM (BABY BOY),BAGS,Pieces,1351214000626,N,N
103090,BAG PURE CHOCOLA 50*36CM (BABY BOY),BAGS,Pieces,1351214000627,N,N
103094,BAG PURE CHOCOLA 57*40CM (BABY BOY),BAGS,Pieces,1351214000628,N,N
103083,BAG PURE CHOCOLA 19*19CM (BABY GIRL),BAGS,Pieces,1351214000629,N,N
103086,BAG PURE CHOCOLA 29*29CM (BABY GIRL),BAGS,Pieces,1351214000630,N,N
103089,BAG PURE CHOCOLA 34*34CM (BABY GIRL),BAGS,Pieces,1351214000631,N,N
103091,BAG PURE CHOCOLA 50*36CM (BABY GIRL),BAGS,Pieces,1351214000632,N,N
103095,BAG PURE CHOCOLA 57*40CM (BABY GIRL),BAGS,Pieces,1351214000633,N,N
102601,BOX ATAYEB 250G 17.5*8.5*8CM,BOXES,Pieces,1351214000637,N,N
102602,BOX ATAYEB 500G 20*8*12CM,BOXES,Pieces,1351214000638,N,N
102603,BOX ATAYEB 1KG 22.5*10.5*10CM,BOXES,Pieces,1351214000639,N,N
102604,BOX ATAYEB 13*4*4CM,BOXES,Pieces,1351214000640,N,N
102605,BOX ATAYEB 33*10*4CM,BOXES,Pieces,1351214000641,N,N
102606,BOX ATAYEB 24*24*4CM (OPEN. CHOC),BOXES,Pieces,1351214000642,N,N
102610,BOX ATAYEB VIP 52.5*32*22CM,BOXES,Pieces,1351214000646,N,N
102611,BOX CHOCOLALA 250G 17.5*8.5*8CM (3),BOXES,Pieces,1351214000647,N,N
102612,BOX CHOCOLALA 500G 20*8*12CM (2),BOXES,Pieces,1351214000648,N,N
102613,BOX CHOCOLALA 1KG 22.5*10.5*10CM (1),BOXES,Pieces,1351214000649,N,N
102619,EGG/OPEN CHOCOLATE BOX 150 50*36*4CM,BOXES,Pieces,1351214000659,N,N
102620,BOX CHOCOLALA BEIGE NUTS/DRAGEE 10*17*6CM (07228-1),BOXES,Pieces,1351214000660,N,N
102621,BOX CHOCOLALA BEIGE FIGS 10*17*6CM (07228-2),BOXES,Pieces,1351214000661,N,N
102622,BOX CHOCOLALA MUSHROOM BEIGE 10*17*6CM (07228-3),BOXES,Pieces,1351214000662,N,N
102623,BOX PURE CHOCOLA 18*18*4CM,BOXES,Pieces,1351214000663,N,N
102624,BOX PURE CHOCOLA 24*24*4CM,BOXES,Pieces,1351214000664,N,N
102625,BOX PURE CHOCOLA 28*28*4CM,BOXES,Pieces,1351214000665,N,N
102626,BOX PURE CHOCOLA 32*32*4CM,BOXES,Pieces,1351214000666,N,N
102628,BOX PURE CHOCOLA 24*24*4CM (BABY BOY),BOXES,Pieces,1351214000668,N,N
102630,BOX PURE CHOCOLA 32*32*4CM (BABY BOY),BOXES,Pieces,1351214000670,N,N
102631,BOX PURE CHOCOLA 18*18*4CM (BABY GIRL),BOXES,Pieces,1351214000671,N,N
102633,BOX PURE CHOCOLA 28*28*4CM (BABY GIRL),BOXES,Pieces,1351214000673,N,N
102634,BOX PURE CHOCOLA 32*32*4CM (BABY GIRL),BOXES,Pieces,1351214000674,N,N
102635,BOX WOODEN GOLD 60*30CM (BARWAZ) (S),BOXES,Pieces,1351214000675,N,N
102636,BOX WOODEN GOLD 75*40CM (BARWAZ) (M),BOXES,Pieces,1351214000676,N,N
102637,BOX WOODEN GOLD 90*55CM (BARWAZ) (L),BOXES,Pieces,1351214000677,N,N
102639,BOX WOODEN ORANGE COLOR CHOCOLALA (BABY),BOXES,Pieces,1351214000679,N,N
102640,BOX WOODEN BLUE COLOR CHOCOLALA (BABY),BOXES,Pieces,1351214000680,N,N
